"colony","whole.mean","mean.dose","round","dose","treatment","replicate","brood_cells","honey_pot","eggs","dead_larvae","live_larvae","dead_pupae","live_pupae","dead_drones","live_drones","drones","avg_pollen","qro","duration","dead_lp","alive_lp","alive","dead"
"4.4R2",0.835624736842105,10230.8023761053,"2",15000,"4","4",53,10,13,46,32,6,0,0,0,27,0.580007368,"B5",46,52,32,5,0
"4.5R2",0.233596666666667,1757.69297464815,"2",15000,"4","5",6,1,3,1,0,2,0,0,0,0,0.835624737,"B4",40,3,0,0,5
"4.7R2",0.62374,7030.06345177778,"2",15000,"4","7",51,7,7,0,35,7,7,0,0,9,0.233596667,"B1",40,7,42,5,0
"4.9R2",0.532295,5682.26010833333,"2",15000,"4","9",39,9,3,0,11,0,2,0,0,17,0.62374,"B1",45,0,13,4,1
"5.11R2",0.411396,43070.0997235,"2",150000,"5","11",27,11,0,0,33,2,0,0,0,7,0.411396,"B1",43,2,33,5,0
"5.12R2",0.207774074074074,15383.8151482222,"2",150000,"5","12",8,1,0,4,0,2,0,1,1,1,0.207774074,"B1",44,6,0,5,0
"5.1R2",0.378228571428571,37367.4831550476,"2",150000,"5","1",28,7,0,0,13,1,6,0,0,10,0.378228571,"B1",42,1,19,5,0
"5.2R2",0.491246818181818,52985.8561218182,"2",150000,"5","2",44,1,11,4,19,8,8,1,1,11,0.491246818,"B5",40,12,27,4,1
"5.3R2",0.212877777777778,16364.600713,"2",150000,"5","3",0,0,0,0,0,0,0,0,0,0,0.212877778,"B3",58,0,0,0,5
"5.4R2",0.4563045,48624.0168351,"2",150000,"5","4",42,8,9,1,33,2,5,0,0,10,0.4563045,"B5",51,3,38,5,0
"5.5R2",0.709547894736842,82144.9315678947,"2",150000,"5","5",56,10,6,4,31,13,2,0,0,15,0.6663385,"B4",43,17,33,5,0
"5.7R2",0.611318888888889,67415.7410302778,"2",150000,"5","7",34,8,7,1,6,6,4,0,0,19,0.611318889,"B1",41,7,10,5,0
"5.9R2",0.418829047619048,42601.2723014762,"2",150000,"5","9",27,10,6,0,13,1,1,0,0,13,0.396835909,"B1",41,1,14,5,0
