round,colony,treatment,dose,pristine/g,replicate,count,start_date,start_time,start_weight,end_date,end_time,end_weight,whole_dif,pristine_consumed,difference,percent_consumed,dose_consumed,id,pid,bees_alive,minmax
2,1.4R2,1,0,0,4,6,8/20/2022,14:50,0.8363,8/22/2022,11:00,0.85295,-0.01665,0,0.07455,-0.019909124,0,1076,R2.1.4-6,5,0.045968369
2,2.2R2,2,150,0.00000015,2,5,8/22/2022,10:30,1.48577,8/24/2022,13:00,1.52251,-0.03674,-5.51E-09,0.08446,-0.024727919,-3.709187829,883,R2.2.2-5,5,0.052309937
2,5.1R2,5,150000,0.00015,1,4,8/16/2022,14:00,1.18991,8/18/2022,14:00,1.18014,0.00977,1.47E-06,0.08655,0.008210705,1231.605752,159,R2.5.1-4,5,0.053647361
2,1.1R2,1,0,0,1,6,8/22/2022,10:30,1.02366,8/24/2022,13:00,1.01352,0.01014,0,0.09216,0.009905633,0,1184,R2.1.1-6,5,0.05723729
2,2.2R2,2,150,0.00000015,2,2,8/16/2022,14:00,1.10656,8/18/2022,14:00,1.12546,-0.0189,-2.84E-09,0.09864,-0.01707996,-2.561993927,880,R2.2.2-2,5,0.061383946
2,1.9R2,1,0,0,9,5,8/22/2022,10:30,1.11065,8/24/2022,13:00,1.08906,0.02159,0,0.10361,0.019439067,0,1010,R2.1.9-5,5,0.064564329
2,5.4R2,5,150000,0.00015,4,6,8/20/2022,14:50,1.19087,8/22/2022,11:00,1.1695,0.02137,3.21E-06,0.10661,0.017944864,2691.729576,64,R2.5.4-6,5,0.066484077
2,1.2R2,1,0,0,2,5,8/22/2022,10:30,1.13164,8/24/2022,13:00,1.13581,-0.00417,0,0.10715,-0.003684917,0,1137,R2.1.2-5,5,0.066829632
2,1.12R2,1,0,0,12,4,8/28/2022,1:00,1.06484,8/30/2022,12:00,1.02208,0.04276,0,0.1083,0.040156268,0,1222,R2.1.12-4,5,0.067565535
2,3.12R2,3,1500,0.0000015,12,28,10/15/2022,10:00,1.11025,10/17/2022,13:15,1.11025,0,0,0.11129,0,0,739,R2.3.12-28,5,0.069478884
2,2.12R2,2,150,0.00000015,12,2,8/24/2022,12:00,1.43529,8/26/2022,11:00,1.44485,-0.00956,-1.43E-09,0.11164,-0.006660675,-0.999101227,966,R2.2.12-2,5,0.069702855
2,1.1R2,1,0,0,1,5,8/20/2022,14:50,1.16139,8/22/2022,11:00,1.15719,0.0042,0,0.11278,0.003616356,0,1183,R2.1.1-5,5,0.070432359
2,5.4R2,5,150000,0.00015,4,8,8/24/2022,12:00,1.1362,8/26/2022,11:00,1.10903,0.02717,4.08E-06,0.11335,0.023913043,3586.956522,66,R2.5.4-8,5,0.070797111
2,3.4R2,3,1500,0.0000015,4,7,8/22/2022,10:30,0.96157,8/24/2022,13:00,0.94679,0.01478,2.22E-08,0.11637,0.015370696,23.05604376,572,R2.3.4-7,5,0.072729658
2,1.4R2,1,0,0,4,5,8/18/2022,13:00,1.11818,8/20/2022,16:15,1.08665,0.03153,0,0.12273,0.028197607,0,1075,R2.1.4-5,5,0.076799524
2,5.9R2,5,150000,0.00015,9,5,8/24/2022,12:00,1.18916,8/26/2022,11:00,1.15636,0.0328,0.00000492,0.12708,0.027582495,4137.374281,4,R2.5.9-5,5,0.079583159
2,2.4R2,2,150,0.00000015,4,7,8/24/2022,12:00,1.60834,8/26/2022,11:00,1.60033,0.00801,1.20E-09,0.12921,0.00498029,0.747043536,828,R2.2.4-7,5,0.08094618
2,5.12R2,5,150000,0.00015,12,15,9/19/2022,10:45,1.11081,9/21/2022,12:00,1.0509,0.05991,8.99E-06,0.13538,0.053933616,8090.042401,211,R2.5.12-15,5,0.084894462
2,1.9R2,1,0,0,9,6,8/24/2022,12:00,1.11339,8/26/2022,11:00,1.05792,0.05547,0,0.13749,0.049820818,0,1011,R2.1.9-6,5,0.086244685
2,2.2R2,2,150,0.00000015,2,4,8/20/2022,14:50,1.22228,8/22/2022,11:00,1.20189,0.02039,3.06E-09,0.13793,0.016681939,2.502290801,882,R2.2.2-4,5,0.086526248
2,1.2R2,1,0,0,2,8,8/28/2022,1:00,0.75022,8/30/2022,12:00,0.67676,0.07346,0,0.139,0.097917944,0,1140,R2.1.2-8,5,0.087210958
2,1.12R2,1,0,0,12,6,9/1/2022,10:30,0.7967,9/3/2022,12:20,0.72301,0.07369,0,0.13923,0.092494038,0,1224,R2.1.12-6,5,0.087358139
2,5.1R2,5,150000,0.00015,1,8,8/24/2022,12:00,1.03098,8/26/2022,11:00,0.98365,0.04733,7.10E-06,0.14161,0.045907777,6886.16656,163,R2.5.1-8,5,0.088881139
