"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.10",37,1.2566,0.06,1,2.7486,0.0287,"69",0.0236,0.0051,0.0019,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.13",38,1.0824,0.0344,1,2.5921,0.0169,"101",0.0163,5e-04,2e-04,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.9",37,1.1553,0.0538,1,2.5295,0.0292,"68",0.0165,0.0127,0.005,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.4",35,1.157,0.0352,1,2.4508,0.0147,"42",0.0116,0.0031,0.0013,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.5",35,1.1708,0.0446,1,2.589,0.0209,"43",0.0159,0.005,0.0019,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.16",40,1.1436,0.0403,1,2.5091,0.0192,"133",0.0115,0.0077,0.0031,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.15",40,1.6117,0.038,1,2.6235,0.0157,"132",0.0143,0.0015,6e-04,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.8",36,1.1389,0.0399,1,2.4804,0.0211,"53",0.018,0.0031,0.0013,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.3",34,1.1624,0.0533,1,NA,0.0321,"17",NA,NA,NA,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.1",33,1.158,0.0486,1,2.4522,0.0186,"1",NA,NA,NA,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.2",34,1.2161,0.0542,1,NA,0.0249,"16",NA,NA,NA,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.12",37,1.1416,0.0569,1,2.6637,0.0354,"71",0.0305,0.0049,0.0018,1,TRUE,"B5",44
"1.4R2",0.606301578947368,0,"2","1","4","1.4R2.14",38,1.0649,0.0358,1,2.3923,0.0197,"102",0.0158,0.0038,0.0016,1,TRUE,"B5",44
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.20",39,1.2669,0.0566,1,2.6322,0.03,"208",0.0195,0.0105,0.004,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.7",34,0.1055,0.0409,1,2.3748,0.0211,"62",0.0112,0.01,0.0042,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.4",34,1.1262,0.0609,1,2.3118,0.0405,"59",0.0242,0.0163,0.0071,4,TRUE,"B4",37
