colony,whole.mean,mean.dose,round,treatment,replicate,biobest_origin,start_wet_weight,alive_at_end,dead_at_end,shut_down_dt,dry weight,days_alive,colony_duration,proportion,qro,dry,alive,dead,survived,died,logdays,dry_weight
1.7R2,0.740038053,0,2,1,7,B1,0.20423,1,0,9/20/2022,0.03964,39,39,1,B1,0.03964,5,0,1,0,3.663561646,0.03964
1.9R2,0.224008077,0,2,1,9,B1,0.09515,0,1,10/9/2022,0.02108,55,56,0.982142857,B1,0.02108,2,3,0,1,4.007333185,0.02108
1.9R2,0.224008077,0,2,1,9,B1,0.07877,0,1,10/9/2022,0.02373,54,56,0.964285714,B1,0.02373,2,3,0,1,3.988984047,0.02373
1.9R2,0.224008077,0,2,1,9,B1,0.21979,1,0,10/9/2022,0.03118,56,56,1,B1,0.03118,2,3,1,0,4.025351691,0.03118
1.9R2,0.224008077,0,2,1,9,B1,0.22493,0,1,10/9/2022,0.01761,55,56,0.982142857,B1,0.01761,2,3,0,1,4.007333185,0.01761
1.9R2,0.224008077,0,2,1,9,B1,0.1592,1,0,10/9/2022,0.04766,56,56,1,B1,0.04766,2,3,1,0,4.025351691,0.04766
2.11R2,0.417827,35.9995816,2,2,11,B1,0.14275,1,0,10/1/2022,0.03892,42,42,1,B1,0.03892,5,0,1,0,3.737669618,0.03892
2.11R2,0.417827,35.9995816,2,2,11,B1,0.1935,1,0,10/1/2022,0.03365,42,42,1,B1,0.03365,5,0,1,0,3.737669618,0.03365
2.11R2,0.417827,35.9995816,2,2,11,B1,0.12337,1,0,10/1/2022,0.03918,42,42,1,B1,0.03918,5,0,1,0,3.737669618,0.03918
2.11R2,0.417827,35.9995816,2,2,11,B1,0.184,1,0,10/1/2022,0.03692,42,42,1,B1,0.03692,5,0,1,0,3.737669618,0.03692
2.11R2,0.417827,35.9995816,2,2,11,B1,0.15326,1,0,10/1/2022,0.0395,42,42,1,B1,0.0395,5,0,1,0,3.737669618,0.0395
2.12R2,0.40355681,35.62452935,2,2,12,B1,0.08189,1,0,10/4/2022,0.0378,43,43,1,B1,0.0378,5,0,1,0,3.761200116,0.0378
2.12R2,0.40355681,35.62452935,2,2,12,B1,0.14282,1,0,10/4/2022,0.02573,43,43,1,B1,0.02573,5,0,1,0,3.761200116,0.02573
2.12R2,0.40355681,35.62452935,2,2,12,B1,0.13578,1,0,10/4/2022,0.02709,43,43,1,B1,0.02709,5,0,1,0,3.761200116,0.02709
2.12R2,0.40355681,35.62452935,2,2,12,B1,0.13684,1,0,10/4/2022,0.0558,43,43,1,B1,0.0558,5,0,1,0,3.761200116,0.0558
2.12R2,0.40355681,35.62452935,2,2,12,B1,0.09394,1,0,10/4/2022,0.056,43,43,1,B1,0.056,5,0,1,0,3.761200116,0.056
2.1R2,0.610158947,55.13368328,2,2,1,B1,0.17694,1,0,9/21/2022,0.03595,42,42,1,B1,0.03595,5,0,1,0,3.737669618,0.03595
2.1R2,0.610158947,55.13368328,2,2,1,B1,0.14824,1,0,9/21/2022,0.07046,42,42,1,B1,0.07046,5,0,1,0,3.737669618,0.07046
2.1R2,0.610158947,55.13368328,2,2,1,B1,0.14276,1,0,9/21/2022,0.02961,42,42,1,B1,0.02961,5,0,1,0,3.737669618,0.02961
2.1R2,0.610158947,55.13368328,2,2,1,B1,0.08037,1,0,9/21/2022,0.03471,42,42,1,B1,0.03471,5,0,1,0,3.737669618,0.03471
2.1R2,0.610158947,55.13368328,2,2,1,B1,0.10237,1,0,9/21/2022,0.04024,42,42,1,B1,0.04024,5,0,1,0,3.737669618,0.04024
2.2R2,0.510923435,47.65174207,2,2,2,B5,0.1836,1,0,9/30/2022,0.04723,47,47,1,B5,0.04723,4,1,1,0,3.850147602,0.04723
2.2R2,0.510923435,47.65174207,2,2,2,B5,0.18952,1,0,9/30/2022,0.05707,47,47,1,B5,0.05707,4,1,1,0,3.850147602,0.05707
2.2R2,0.510923435,47.65174207,2,2,2,B5,0.13242,0,1,9/30/2022,0.04898,43,47,0.914893617,B5,0.04898,4,1,0,1,3.761200116,0.04898
2.2R2,0.510923435,47.65174207,2,2,2,B5,0.18666,1,0,9/30/2022,0.05948,47,47,1,B5,0.05948,4,1,1,0,3.850147602,0.05948
2.2R2,0.510923435,47.65174207,2,2,2,B5,0.19628,1,0,9/30/2022,0.07722,47,47,1,B5,0.07722,4,1,1,0,3.850147602,0.07722
2.3R2,0.328003632,24.29675944,2,2,3,B3,0.11291,1,0,9/25/2022,0.09097,42,42,1,B3,0.09097,5,0,1,0,3.737669618,0.09097
2.3R2,0.328003632,24.29675944,2,2,3,B3,0.11189,1,0,9/25/2022,0.03467,42,42,1,B3,0.03467,5,0,1,0,3.737669618,0.03467
2.3R2,0.328003632,24.29675944,2,2,3,B3,0.20665,1,0,9/25/2022,0.0299,42,42,1,B3,0.0299,5,0,1,0,3.737669618,0.0299
2.3R2,0.328003632,24.29675944,2,2,3,B3,0.10806,1,0,9/25/2022,0.03165,42,42,1,B3,0.03165,5,0,1,0,3.737669618,0.03165
2.3R2,0.328003632,24.29675944,2,2,3,B3,0.0904,1,0,9/25/2022,0.0218,42,42,1,B3,0.0218,5,0,1,0,3.737669618,0.0218
2.4R2,0.388139412,32.86885711,2,2,4,B5,0.18718,0,1,9/16/2022,0.04538,27,35,0.771428571,B5,0.04538,0,5,0,1,3.295836866,0.04538
2.4R2,0.388139412,32.86885711,2,2,4,B5,0.18839,0,1,9/16/2022,0.05333,35,35,1,B5,0.05333,0,5,0,1,3.555348061,0.05333
2.4R2,0.388139412,32.86885711,2,2,4,B5,0.20698,0,1,9/16/2022,0.02713,34,35,0.971428571,B5,0.02713,0,5,0,1,3.526360525,0.02713
2.4R2,0.388139412,32.86885711,2,2,4,B5,0.23744,0,1,9/16/2022,0.04282,28,35,0.8,B5,0.04282,0,5,0,1,3.33220451,0.04282
2.4R2,0.388139412,32.86885711,2,2,4,B5,0.09771,0,1,9/16/2022,0.03995,24,35,0.685714286,B5,0.03995,0,5,0,1,3.17805383,0.03995
2.5R2,0.7194915,73.77695874,2,2,5,B4,0.28146,1,0,9/24/2022,0.08023,41,41,1,B4,0.08023,4,1,1,0,3.713572067,0.08023
2.5R2,0.7194915,73.77695874,2,2,5,B4,0.22661,1,0,9/24/2022,0.03987,41,41,1,B4,0.03987,4,1,1,0,3.713572067,0.03987
2.5R2,0.7194915,73.77695874,2,2,5,B4,0.21505,1,0,9/24/2022,0.08694,41,41,1,B4,0.08694,4,1,1,0,3.713572067,0.08694
2.5R2,0.7194915,73.77695874,2,2,5,B4,0.17888,1,0,9/24/2022,0.05251,41,41,1,B4,0.05251,4,1,1,0,3.713572067,0.05251
2.5R2,0.7194915,73.77695874,2,2,5,B4,0.21339,0,1,9/20/2022,0.04862,32,37,0.864864865,B4,0.04862,4,1,0,1,3.465735903,0.04862
2.7R2,0.5299685,46.45850639,2,2,7,B1,0.16435,1,0,9/23/2022,0.03281,42,42,1,B1,0.03281,5,0,1,0,3.737669618,0.03281
2.7R2,0.5299685,46.45850639,2,2,7,B1,0.18384,1,0,9/23/2022,0.04717,42,42,1,B1,0.04717,5,0,1,0,3.737669618,0.04717
2.7R2,0.5299685,46.45850639,2,2,7,B1,0.14631,1,0,9/23/2022,0.05268,42,42,1,B1,0.05268,5,0,1,0,3.737669618,0.05268
2.7R2,0.5299685,46.45850639,2,2,7,B1,0.19768,1,0,9/23/2022,0.05001,42,42,1,B1,0.05001,5,0,1,0,3.737669618,0.05001
2.7R2,0.5299685,46.45850639,2,2,7,B1,0.181,1,0,9/23/2022,0.03727,42,42,1,B1,0.03727,5,0,1,0,3.737669618,0.03727
2.9R2,0.58571519,52.49617521,2,2,9,B1,0.26956,1,0,9/29/2022,0.03719,44,44,1,B1,0.03719,5,0,1,0,3.784189634,0.03719
2.9R2,0.58571519,52.49617521,2,2,9,B1,0.20952,1,0,9/29/2022,0.02867,44,44,1,B1,0.02867,5,0,1,0,3.784189634,0.02867
2.9R2,0.58571519,52.49617521,2,2,9,B1,0.30477,1,0,9/29/2022,0.04532,44,44,1,B1,0.04532,5,0,1,0,3.784189634,0.04532
2.9R2,0.58571519,52.49617521,2,2,9,B1,0.25156,1,0,9/29/2022,0.05576,44,44,1,B1,0.05576,5,0,1,0,3.784189634,0.05576
2.9R2,0.58571519,52.49617521,2,2,9,B1,0.53295,1,0,9/29/2022,0.04562,44,44,1,B1,0.04562,5,0,1,0,3.784189634,0.04562
3.11R2,0.421640952,357.6577925,2,3,11,B1,0.26375,1,0,10/4/2022,0.05615,45,45,1,B1,0.05615,5,0,1,0,3.80666249,0.05615
3.11R2,0.421640952,357.6577925,2,3,11,B1,0.15351,1,0,10/4/2022,0.04366,43,43,1,B1,0.04366,5,0,1,0,3.761200116,0.04366
3.11R2,0.421640952,357.6577925,2,3,11,B1,0.2302,1,0,10/4/2022,0.03517,45,45,1,B1,0.03517,5,0,1,0,3.80666249,0.03517
3.11R2,0.421640952,357.6577925,2,3,11,B1,0.14933,1,0,10/4/2022,0.04115,45,45,1,B1,0.04115,5,0,1,0,3.80666249,0.04115
3.11R2,0.421640952,357.6577925,2,3,11,B1,0.19414,1,0,10/4/2022,0.04315,45,45,1,B1,0.04315,5,0,1,0,3.80666249,0.04315
3.12R2,0.339099259,281.2180256,2,3,12,B1,0.1487,1,0,10/16/2022,0.05577,55,55,1,B1,0.05577,5,0,1,0,4.007333185,0.05577
3.12R2,0.339099259,281.2180256,2,3,12,B1,0.09876,1,0,10/16/2022,0.03132,55,55,1,B1,0.03132,5,0,1,0,4.007333185,0.03132
3.12R2,0.339099259,281.2180256,2,3,12,B1,0.13982,1,0,10/16/2022,0.03477,55,55,1,B1,0.03477,5,0,1,0,4.007333185,0.03477
3.12R2,0.339099259,281.2180256,2,3,12,B1,0.09877,1,0,10/16/2022,0.0252,55,55,1,B1,0.0252,5,0,1,0,4.007333185,0.0252
3.12R2,0.339099259,281.2180256,2,3,12,B1,0.08999,1,0,10/16/2022,0.03765,55,55,1,B1,0.03765,5,0,1,0,4.007333185,0.03765
3.1R2,0.371194783,307.8860579,2,3,1,B1,0.12433,1,0,9/27/2022,0.04454,48,48,1,B1,0.04454,5,0,1,0,3.871201011,0.04454
3.1R2,0.371194783,307.8860579,2,3,1,B1,0.10055,1,0,9/27/2022,0.0608,48,48,1,B1,0.0608,5,0,1,0,3.871201011,0.0608
3.1R2,0.371194783,307.8860579,2,3,1,B1,0.1994,1,0,9/27/2022,0.02395,48,48,1,B1,0.02395,5,0,1,0,3.871201011,0.02395
3.1R2,0.371194783,307.8860579,2,3,1,B1,0.11357,1,0,9/27/2022,0.05275,48,48,1,B1,0.05275,5,0,1,0,3.871201011,0.05275
3.1R2,0.371194783,307.8860579,2,3,1,B1,0.05544,1,0,9/27/2022,0.04451,48,48,1,B1,0.04451,5,0,1,0,3.871201011,0.04451
3.2R2,0.346101,310.2828662,2,3,2,B5,0.2231,1,0,9/27/2022,0.01876,44,44,1,B5,0.01876,5,0,1,0,3.784189634,0.01876
3.2R2,0.346101,310.2828662,2,3,2,B5,0.23152,1,0,9/27/2022,0.05479,44,44,1,B5,0.05479,5,0,1,0,3.784189634,0.05479
3.2R2,0.346101,310.2828662,2,3,2,B5,0.11506,1,0,9/27/2022,0.05088,44,44,1,B5,0.05088,5,0,1,0,3.784189634,0.05088
3.2R2,0.346101,310.2828662,2,3,2,B5,0.13836,1,0,9/27/2022,0.0492,44,44,1,B5,0.0492,5,0,1,0,3.784189634,0.0492
3.2R2,0.346101,310.2828662,2,3,2,B5,0.21787,1,0,9/27/2022,0.0199,44,44,1,B5,0.0199,5,0,1,0,3.784189634,0.0199
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.20263,1,0,9/19/2022,0.12047,38,38,1,B3,0.12047,5,0,1,0,3.63758616,0.12047
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.2748,1,0,9/19/2022,0.08411,38,38,1,B3,0.08411,5,0,1,0,3.63758616,0.08411
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.21932,1,0,9/19/2022,0.0591,38,38,1,B3,0.0591,5,0,1,0,3.63758616,0.0591
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.24995,1,0,9/19/2022,0.08286,38,38,1,B3,0.08286,5,0,1,0,3.63758616,0.08286
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.28367,1,0,9/19/2022,0.05551,38,38,1,B3,0.05551,5,0,1,0,3.63758616,0.05551
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.1432,0,1,9/22/2022,0.0535,23,43,0.534883721,B5,0.0535,3,2,0,1,3.135494216,0.0535
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.19801,0,1,9/22/2022,0.03801,23,43,0.534883721,B5,0.03801,3,2,0,1,3.135494216,0.03801
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.16675,1,0,9/22/2022,0.05021,43,43,1,B5,0.05021,3,2,1,0,3.761200116,0.05021
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.19307,1,0,9/22/2022,0.08082,43,43,1,B5,0.08082,3,2,1,0,3.761200116,0.08082
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.16211,1,0,9/22/2022,0.04117,43,43,1,B5,0.04117,3,2,1,0,3.761200116,0.04117
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.2107,1,0,9/21/2022,0.04817,40,40,1,B4,0.04817,4,1,1,0,3.688879454,0.04817
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.2454,1,0,9/21/2022,0.04078,40,40,1,B4,0.04078,4,1,1,0,3.688879454,0.04078
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.24435,1,0,9/21/2022,0.07347,40,40,1,B4,0.07347,4,1,1,0,3.688879454,0.07347
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.19005,0,1,9/21/2022,0.05927,39,40,0.975,B4,0.05927,4,1,0,1,3.663561646,0.05927
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.30418,1,0,9/21/2022,0.09418,40,40,1,B4,0.09418,4,1,1,0,3.688879454,0.09418
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.17755,1,0,9/30/2022,0.0716,47,47,1,B1,0.0716,5,0,1,0,3.850147602,0.0716
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.24259,1,0,9/30/2022,0.03518,47,47,1,B1,0.03518,5,0,1,0,3.850147602,0.03518
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.17794,1,0,9/30/2022,0.05582,47,47,1,B1,0.05582,5,0,1,0,3.850147602,0.05582
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.26609,1,0,9/30/2022,0.03915,47,47,1,B1,0.03915,5,0,1,0,3.850147602,0.03915
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.20702,1,0,9/30/2022,0.04443,47,47,1,B1,0.04443,5,0,1,0,3.850147602,0.04443
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.19399,1,0,9/28/2022,0.02356,41,41,1,B1,0.02356,5,0,1,0,3.713572067,0.02356
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.10467,1,0,9/28/2022,0.05742,39,39,1,B1,0.05742,5,0,1,0,3.663561646,0.05742
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.1496,1,0,9/28/2022,0.03065,41,41,1,B1,0.03065,5,0,1,0,3.713572067,0.03065
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.13292,1,0,9/28/2022,0.02726,41,41,1,B1,0.02726,5,0,1,0,3.713572067,0.02726
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.09707,1,0,9/28/2022,0.05571,41,41,1,B1,0.05571,5,0,1,0,3.713572067,0.05571
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.17488,1,0,9/29/2022,0.02813,40,40,1,B1,0.02813,5,0,1,0,3.688879454,0.02813
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.15882,1,0,9/29/2022,0.03342,40,40,1,B1,0.03342,5,0,1,0,3.688879454,0.03342
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.37784,1,0,9/29/2022,0.09359,40,40,1,B1,0.09359,5,0,1,0,3.688879454,0.09359
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.15537,1,0,9/29/2022,0.02234,40,40,1,B1,0.02234,5,0,1,0,3.688879454,0.02234
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.17664,1,0,9/29/2022,0.0385,40,40,1,B1,0.0385,5,0,1,0,3.688879454,0.0385
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.10792,1,0,10/7/2022,0.02359,46,46,1,B1,0.02359,3,2,1,0,3.828641396,0.02359
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.0251,1,0,10/7/2022,0.03533,46,46,1,B1,0.03533,3,2,1,0,3.828641396,0.03533
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.16132,1,0,10/7/2022,0.03328,46,46,1,B1,0.03328,3,2,1,0,3.828641396,0.03328
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.10293,0,1,10/19/2022,0.03441,5,58,0.086206897,B1,0.03441,3,2,0,1,1.609437912,0.03441
